date,sweep_id,arch,instance_type,clone_run_index,image,kind,probe_index,wall_seconds,exit_code,notes
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,11,1.160,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,12,0.990,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,13,1.070,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,14,0.890,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,15,1.000,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,16,0.960,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,17,1.010,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,18,1.060,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,19,0.910,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,12,ensemblorg/ensembl-vep:release_115.2,probe,20,1.070,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,1,1.150,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,2,1.080,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,3,0.930,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,4,1.050,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,5,1.130,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,6,1.110,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,7,1.080,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,8,1.120,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,9,1.070,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,10,1.000,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,11,1.150,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,12,1.070,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,13,1.090,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,14,0.990,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,15,1.000,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,16,1.050,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,17,0.990,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
