engine,sweep_id,binary_md5,term,vep_tuples,vep_only,engine_only,intersection,engine_tuples,precision,recall,f1,vep_only_excluded,engine_only_excluded,adj_f1
fastvep,sweep-20260918T224520Z,v0.3.0,splice_donor_region_variant,759812,70174,52369,689638,742007,0.929422,0.907643,0.918404,,,
fastvep,sweep-20260918T224520Z,v0.3.0,splice_donor_5th_base_variant,458373,123669,11795,334704,346499,0.965959,0.730200,0.831695,,,
fastvep,sweep-20260918T224520Z,v0.3.0,inframe_deletion,389223,7163,38237,382060,420297,0.909024,0.981597,0.943917,,,
fastvep,sweep-20260918T224520Z,v0.3.0,inframe_insertion,155083,154438,161525,645,162170,0.003977,0.004159,0.004066,,,
fastvep,sweep-20260918T224520Z,v0.3.0,coding_sequence_variant,138690,125391,62654,13299,75953,0.175095,0.095890,0.123917,,,
fastvep,sweep-20260918T224520Z,v0.3.0,start_lost,80277,7178,5768,73099,78867,0.926864,0.910585,0.918652,,,
fastvep,sweep-20260918T224520Z,v0.3.0,stop_lost,28706,6263,170,22443,22613,0.992482,0.781823,0.874647,,,
fastvep,sweep-20260918T224520Z,v0.3.0,protein_altering_variant,20718,20718,0,0,0,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,stop_retained_variant,20310,10672,61,9638,9699,0.993711,0.474545,0.642341,,,
fastvep,sweep-20260918T224520Z,v0.3.0,incomplete_terminal_codon_variant,3990,3990,0,0,0,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,start_retained_variant,2759,2759,0,0,0,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,transcript_ablation,1346,1346,78,0,78,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,mature_miRNA_variant,1111,1111,0,0,0,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,feature_truncation,667,667,6236,0,6236,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,transcript_amplification,505,505,408,0,408,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,feature_elongation,208,208,1948,0,1948,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,coding_transcript_variant,12,12,1979,0,1979,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,copy_number_change,0,0,70,0,70,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,copy_number_decrease,0,0,6169,0,6169,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,copy_number_increase,0,0,1948,0,1948,0.000000,0.000000,0.000000,,,
fastvep,sweep-20260918T224520Z,v0.3.0,transcript_variant,0,0,22,0,22,0.000000,0.000000,0.000000,,,
