assembly,gff3_file,gff3_sha256,cache_dir,gff3_transcripts,cache_transcripts,in_both,gff3_only,cache_only,gff3_only_canonical,cache_only_canonical,gff3_only_top_contigs,cache_only_top_contigs,storable_check_contig,storable_transcripts,json_transcripts_on_contig,storable_only,json_only,ensembl_core_db,core_db_canonical_transcripts,gff3_only_canonical_readthrough,gff3_only_canonical_artifact,gff3_only_canonical_unclassified,core_db_readthrough_canonical,core_db_artifact_canonical,cache_transcripts_fastvep_admitted,cache_transcripts_fastvep_unloaded,fastvep_loader_version,storable_113_transcripts,storable_115_transcripts,storable_113_115_identical_transcripts,storable_113_115_differing_transcripts,storable_113_only,storable_115_only,storable_113_115_sweep_id
GRCh37,Homo_sapiens.GRCh37.87.chr.gff3.gz,ec21a77101d2592c4eb6967b4962a98e40dc5f81369513a9f246c16983a1b7a2,json_cache_grch37,196354,195232,195232,1122,0,1122,0,19:175;17:113;16:94;1:70;15:68,,,,,,,homo_sapiens_core_115_37,196354,1122,0,0,1122,0,115551,79681,v0.3.0,195232,195232,194922,310,0,0,sweep-20260918T050530Z
GRCh38,Homo_sapiens.GRCh38.115.gff3.gz,1e553efa8496d662e7264061a5cecf3001eb9a1157aaa66d80cd7ac35841509c,json_cache_grch38,509650,505231,505231,4419,0,2134,0,KI270742.1:460;3:280;GL000195.1:218;GL000205.2:199;19:188,,21,6752,6752,0,0,homo_sapiens_core_115_38,507365,2115,19,0,2115,19,504113,1118,v0.3.0,,,,,,,
